file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,97,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,16
style.css,98,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,16
style.css,99,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,17
style.css,100,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,18
style.css,101,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,0
style.css,102,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,0
style.css,103,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,7
style.css,104,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,13
style.css,105,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,19
style.css,106,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,0
style.css,107,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,0
style.css,108,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,3
style.css,109,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,15
style.css,110,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,17
style.css,111,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,25
style.css,112,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,19
style.css,113,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,13
style.css,114,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,22
style.css,115,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,0
style.css,116,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,0
style.css,117,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,3
style.css,118,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,15
style.css,119,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,17
style.css,120,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,9
style.css,121,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,13
style.css,122,css,ac5cbb0f,Ishaan Kor,2025-01-31,20:48:45,-08:00,2025-01-31T20:48:45-08:00,0,20
style.css,123,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,0
style.css,124,css,641190ef,Ishaan Kor,2025-01-31,20:34:06,-08:00,2025-01-31T20:34:06-08:00,0,0
style.css,125,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,9
style.css,126,css,c6478c7f,Ishaan Kor,2025-01-17,13:10:33,-08:00,2025-01-17T13:10:33-08:00,0,17
